PRODUCCION;PROD_ACUMULADA;RECHAZO_TOTAL;RECHAZO_CAJA_MANGA;RECHAZO_LINEA;RECUP_PROCESO;RECUP_TRADICIONAL;PRODUCT_PROCESO;PRODUCT_TOTAL;COSTO_PROY_ACTUAL;TIPO_PRODUCTO;AB_RECUPERADO;RPS;DISPON_REFERENCIAL;PERDIDAS_EQUIPOS;PERDIDAS_PROCESO;INGRESO_ACIDULACION;SET_POINT_ACIDULACION;CANTIDAD_LF;CANT_TOTAL_LF_DIEMME;CANTIDAD_LF_DIEMME_1;PORC_CANT_LF_DIEMME_1;CANTIDAD_LF_DIEMME_2;PORC_CANT_LF_DIEMME_2;CONSU_PULPA_DIEMME_1;CONSU_PULPA_DIEMME_2;CANTIDAD_LF_HOESCH;N_FILTRADAS_DIEMME;N_FILTRADAS_HOESCH;LF_BAJADO;PORC_CARGA_DIEMME;PORC_APORTE_AM_DIEMME;M3_FILTRADA_DIEMME;M3_FILTRADA_HOESCH;B2O3_AM_INGRESO_RX;LEY_ULEXITA;ULEXITA_DIARIA;ACIDO_SULFU_DIARIO;FACT_DESV_PESOMETRO;PORC_CARGA_PNNEVIS;PORC_ENVASADO_H4;REC_PROCESO_ACUM;REC_TRADICIONAL_ACUM;FILTRADAS_DMM_1;FILTRADAS_DMM_2;PROD_ACUMULADA_MES;PROD_ACUMULADA_TOTAL;PROMEDIO_D1;PROMEDIO_D2;PROM_TOTAL_DIEMME;PROMEDIO_HOESCH;CONSUMO_AGUA_DIA;PORC_PRODUCCION_SACOS
287,825;4583,334;40,300;7,325;10,263;0,743;0,752;105,593;114,899;620,100;ABK/GI;44,321;11,000;0,864;0,413;0,587;26,110;42,000;2756,600;2078,640;958,079;0,461;1120,561;0,539;1368,000;1600,000;677,960;39,000;21,000;2725,800;0,754;0,190;53,298;32,284;59,160;15,530;1403,720;198,498;0,876;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
264,480;4583,334;37,080;5,000;10,263;0,741;0,752;100,730;114,899;633,700;GI;44,321;11,000;0,832;0,438;0,562;26,652;42,000;2625,700;1778,900;678,132;0,381;1100,768;0,619;921,000;1495,000;846,800;31,000;28,000;2625,700;0,677;0,186;57,384;30,243;55,860;16,080;1250,220;183,872;0,835;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
268,965;4583,334;31,000;1,000;10,263;0,757;0,752;104,270;114,899;631,600;GI;44,321;11,000;0,818;0,515;0,485;29,859;42,000;2579,500;2308,590;1088,272;0,471;1220,318;0,529;1467,000;1645,000;270,910;39,000;6,000;2579,500;0,895;0,294;59,195;45,152;64,080;15,960;1252,790;179,990;0,874;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
280,195;4583,334;35,170;18,000;10,263;0,754;0,752;118,920;114,899;629,200;GI/Estándar;44,321;11,000;0,747;0,891;0,109;39,112;42,000;2356,200;1770,230;900,573;0,509;869,657;0,491;1340,000;1294,000;585,970;36,000;17,000;2356,200;0,751;0,267;49,173;34,469;61,030;15,550;1346,190;185,782;0,877;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
293,075;4583,334;35,800;8,900;10,263;0,777;0,752;114,300;114,899;624,200;GI/Estándar;44,321;11,000;0,813;0,705;0,295;45,695;42,000;2517,900;2214,990;1134,081;0,512;1080,909;0,488;1493,000;1423,000;302,910;38,000;13,000;2564,100;0,880;0,336;58,289;23,301;56,700;15,810;1342,270;185,210;0,875;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
294,025;4583,334;41,600;14,000;10,263;0,759;0,752;111,650;114,899;624,200;GI/Estándar;44,321;11,000;0,835;0,599;0,401;43,676;42,000;2594,900;2264,600;1118,461;0,494;1146,139;0,506;1576,000;1615,000;330,300;40,000;11,000;2633,400;0,873;0,313;56,615;30,027;57,080;16,120;1353,300;192,751;0,828;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
293,325;4583,334;36,600;18,000;10,263;0,735;0,752;104,940;114,899;624,200;Estándar;44,321;11,000;0,886;0,330;0,670;38,039;42,000;2802,800;2289,260;1094,360;0,478;1194,900;0,522;1513,000;1652,000;513,540;41,000;14,000;2795,100;0,817;0,270;55,836;36,681;56,450;15,950;1408,040;204,650;0,804;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
282,100;4583,334;38,700;22,425;10,263;0,728;0,752;104,080;114,899;624,200;Estándar;44,321;11,000;0,859;0,407;0,593;41,993;42,000;2702,700;1659,690;892,368;0,538;767,322;0,462;1256,000;1080,000;1043,010;31,000;29,000;2710,400;0,614;0,231;53,538;35,966;55,170;15,890;1372,840;218,843;0,880;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
284,500;4583,334;39,900;22,900;10,263;0,729;0,752;110,620;114,899;630,500;Estándar;44,321;11,000;0,815;0,621;0,379;41,546;41,036;2610,300;1964,240;1013,265;0,516;950,975;0,484;1464,000;1374,000;646,060;39,000;16,000;2571,800;0,752;0,321;50,365;40,379;59,160;16,180;1357,610;205,144;0,797;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
310,780;4583,334;43,480;21,075;10,263;0,760;0,752;115,648;114,899;626,800;Estándar;44,321;11,000;0,852;0,658;0,342;40,355;42,000;2687,300;1438,490;678,961;0,472;759,529;0,528;868,000;971,000;1248,810;27,000;43,000;2687,300;0,535;0,221;53,277;29,042;59,470;15,990;1440,090;199,620;0,842;0,594;0,898;0,726;0,739;18,000;18,000;112,359;114,216;18,632;17,929;36,558;20,527;1177,477;0,718
